Sample Name	Protocol REF	Parameter Value[Post Extraction]	Term Source REF	Term Accession Number	Parameter Value[Derivatization]	Term Source REF	Term Accession Number	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Term Source REF	Term Accession Number	Parameter Value[Column type]	Term Source REF	Term Accession Number	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Term Source REF	Term Accession Number	Parameter Value[Scan m/z range]	Term Source REF	Term Accession Number	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
SD-B00136	Extraction	120 μL isopropanol			none			SD-B00136	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00136	FILES/SD-B00136.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00359	Extraction	120 μL isopropanol			none			SD-B00359	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00359	FILES/SD-B00359.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00389	Extraction	120 μL isopropanol			none			SD-B00389	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00389	FILES/SD-B00389.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00118	Extraction	120 μL isopropanol			none			SD-B00118	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00118	FILES/SD-B00118.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150417_QC_POS_11	Extraction	120 μL isopropanol			none			20150417_QC_POS_11	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			20150417_QC_POS_11	FILES/20150417_QC_POS_11.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00372	Extraction	120 μL isopropanol			none			SD-B00372	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00372	FILES/SD-B00372.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00277	Extraction	120 μL isopropanol			none			SD-B00277	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00277	FILES/SD-B00277.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00224	Extraction	120 μL isopropanol			none			SD-B00224	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00224	FILES/SD-B00224.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00367	Extraction	120 μL isopropanol			none			SD-B00367	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00367	FILES/SD-B00367.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00237	Extraction	120 μL isopropanol			none			SD-B00237	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00237	FILES/SD-B00237.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
