Sample Name	Protocol REF	Parameter Value[Post Extraction]	Term Source REF	Term Accession Number	Parameter Value[Derivatization]	Term Source REF	Term Accession Number	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Term Source REF	Term Accession Number	Parameter Value[Column type]	Term Source REF	Term Accession Number	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Term Source REF	Term Accession Number	Parameter Value[Scan m/z range]	Term Source REF	Term Accession Number	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
SD-B00012	Extraction	120 μL isopropanol			none			SD-B00012	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00012	FILES/SD-B00012.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00314	Extraction	120 μL isopropanol			none			SD-B00314	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00314	FILES/SD-B00314.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00370	Extraction	120 μL isopropanol			none			SD-B00370	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00370	FILES/SD-B00370.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150420QC_POS_12	Extraction	120 μL isopropanol			none			20150420QC_POS_12	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			20150420QC_POS_12	FILES/20150420QC_POS_12.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00011	Extraction	120 μL isopropanol			none			SD-B00011	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00011	FILES/SD-B00011.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00070	Extraction	120 μL isopropanol			none			SD-B00070	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00070	FILES/SD-B00070.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00301	Extraction	120 μL isopropanol			none			SD-B00301	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00301	FILES/SD-B00301.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00233	Extraction	120 μL isopropanol			none			SD-B00233	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00233	FILES/SD-B00233.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00288	Extraction	120 μL isopropanol			none			SD-B00288	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00288	FILES/SD-B00288.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00317	Extraction	120 μL isopropanol			none			SD-B00317	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00317	FILES/SD-B00317.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00184	Extraction	120 μL isopropanol			none			SD-B00184	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00184	FILES/SD-B00184.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00222	Extraction	120 μL isopropanol			none			SD-B00222	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00222	FILES/SD-B00222.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00177	Extraction	120 μL isopropanol			none			SD-B00177	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00177	FILES/SD-B00177.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00362	Extraction	120 μL isopropanol			none			SD-B00362	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00362	FILES/SD-B00362.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150420QC_POS_13	Extraction	120 μL isopropanol			none			20150420QC_POS_13	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			20150420QC_POS_13	FILES/20150420QC_POS_13.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00033	Extraction	120 μL isopropanol			none			SD-B00033	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00033	FILES/SD-B00033.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00220	Extraction	120 μL isopropanol			none			SD-B00220	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00220	FILES/SD-B00220.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00286	Extraction	120 μL isopropanol			none			SD-B00286	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00286	FILES/SD-B00286.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00219	Extraction	120 μL isopropanol			none			SD-B00219	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00219	FILES/SD-B00219.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00105	Extraction	120 μL isopropanol			none			SD-B00105	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00105	FILES/SD-B00105.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00293	Extraction	120 μL isopropanol			none			SD-B00293	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00293	FILES/SD-B00293.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00200	Extraction	120 μL isopropanol			none			SD-B00200	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00200	FILES/SD-B00200.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00259	Extraction	120 μL isopropanol			none			SD-B00259	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00259	FILES/SD-B00259.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00092	Extraction	120 μL isopropanol			none			SD-B00092	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00092	FILES/SD-B00092.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00081	Extraction	120 μL isopropanol			none			SD-B00081	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00081	FILES/SD-B00081.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150420QC_POS_14	Extraction	120 μL isopropanol			none			20150420QC_POS_14	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			20150420QC_POS_14	FILES/20150420QC_POS_14.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00357	Extraction	120 μL isopropanol			none			SD-B00357	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00357	FILES/SD-B00357.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00017	Extraction	120 μL isopropanol			none			SD-B00017	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00017	FILES/SD-B00017.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00299	Extraction	120 μL isopropanol			none			SD-B00299	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00299	FILES/SD-B00299.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00416	Extraction	120 μL isopropanol			none			SD-B00416	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00416	FILES/SD-B00416.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00290	Extraction	120 μL isopropanol			none			SD-B00290	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00290	FILES/SD-B00290.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00119	Extraction	120 μL isopropanol			none			SD-B00119	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00119	FILES/SD-B00119.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00392	Extraction	120 μL isopropanol			none			SD-B00392	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00392	FILES/SD-B00392.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00209	Extraction	120 μL isopropanol			none			SD-B00209	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00209	FILES/SD-B00209.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00191	Extraction	120 μL isopropanol			none			SD-B00191	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00191	FILES/SD-B00191.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00203	Extraction	120 μL isopropanol			none			SD-B00203	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00203	FILES/SD-B00203.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150420QC_POS_15	Extraction	120 μL isopropanol			none			20150420QC_POS_15	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			20150420QC_POS_15	FILES/20150420QC_POS_15.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150420QC_POS_16	Extraction	120 μL isopropanol			none			20150420QC_POS_16	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			20150420QC_POS_16	FILES/20150420QC_POS_16.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150420QC_POS_17	Extraction	120 μL isopropanol			none			20150420QC_POS_17	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			20150420QC_POS_17	FILES/20150420QC_POS_17.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150421QC_POS_6	Extraction	120 μL isopropanol			none			20150421QC_POS_6	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			20150421QC_POS_6	FILES/20150421QC_POS_6.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150421QC_POS_7	Extraction	120 μL isopropanol			none			20150421QC_POS_7	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			20150421QC_POS_7	FILES/20150421QC_POS_7.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150421QC_POS_8	Extraction	120 μL isopropanol			none			20150421QC_POS_8	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			20150421QC_POS_8	FILES/20150421QC_POS_8.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150421QC_POS_9	Extraction	120 μL isopropanol			none			20150421QC_POS_9	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			20150421QC_POS_9	FILES/20150421QC_POS_9.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150421QC_POS_10	Extraction	120 μL isopropanol			none			20150421QC_POS_10	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			20150421QC_POS_10	FILES/20150421QC_POS_10.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00328	Extraction	120 μL isopropanol			none			SD-B00328	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00328	FILES/SD-B00328.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00094	Extraction	120 μL isopropanol			none			SD-B00094	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00094	FILES/SD-B00094.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00373	Extraction	120 μL isopropanol			none			SD-B00373	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00373	FILES/SD-B00373.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
